id,litera,cuvant_cheie,continut
1,A,ABATERE,"Vezi: CLERIC, DOJANĂ, INFRACŢIUNE, PĂCAT etc."
2,A,ABSOLUŢIUNE,"Penitenţii care sunt în primejdie de moarte, dacă se căiesc, să fie iertaţi de pedeapsa ce li s-a dat şi să fie împărtăşiţi cu Sfintele Taine. Dreptul de absoluţiune îl are Episcopul. Presbiterul are acest drept numai în lipsa Episcopului. 7, 43 Cartag. Vezi şi: GRAŢIERE."
3,A,ABSTINENŢA,"Clericul care se abţine de la nuntă, carne şi vin, nu pentru înfrânare, ci din scârbă, hulindu-le ca lucruri rele, ori să se îndepărteze, ori să se caterisească şi să se lepede de Biserică. Asemenea şi mireanul. 51 ap.
- Clericul care în zilele de sărbătoare nu se împărtăşeşte din carne şi vin din scârbă, iar nu din înfrânare, să se caterisească. 53 ap.
- Clericul care posteşte (post sec) Sâmbăta şi Duminica să se caterisească; mireanul să se afurisească. 66 ap.
- Clericul care-şi leapădă soţia, pe motiv de evlavie, să se afurisească, iar „dacă stăruie în greşeală, să se caterisească”. 5 ap."
4,A,ABUZ DE PUTERE,Clericii superiori să nu abuzeze de puterea lor faţă de clerici subalterni. 4 sin VII ec.
5,A,ACUZA,"Acuza împotriva Episcopului se înaintează Mitropolitului, deci căpeteniei sinodului de care depinde acel Episcop. 6 ap.; 19 Cartag.
- Cel ce pârăşte pe un Episcop e dator să-şi susţină pâra. dacă nu o susţine, se pedepseşte ca un calomniator. 6 sin. II ec.; 19 Cartag.
- Reclamaţie împotriva clericilor poate face, în chestiunile particulare, orice persoană căreia i s-a cauzat de către clerici o nedreptate. În chestiunile bisericeşti, pot ridica acuza numai persoanele vrednice de credinţă. De aceea: ereticii, schismaticii, anatemizaţii, excomunicaţii, caterisiţii, cei ce dispreţuiesc canoanele, cei cu viaţa imorală şi cei ce au fost daţi în judecată şi nu s-au dezvinovăţit nu pot ridica acuza împotriva clericilor. 6 sin. II ec.; 21 sin. IV ec.; 74 ap.; 8, 128 Cartag. 
De asemenea, nici cei lipsiţi de drepturi civile şi nici oarecari persoane care «s-au spurcat cu fapte ruşinoase». 129 Cartag.
- Cel ce a ridicat mai multe învinuiri împotriva clericilor, dacă nu poate dovedi una dintre ele, atunci nu i se permite să mai susţină pe celelalte. 130 Cartag.
- Cel ce acuză pe Episcop, să dea în scris «că sunt gata a se supune aceleiaşi pedepse care s-ar da Episcopului acuzat, în cazul când la cercetarea lucrurilor se va dovedi că Episcopul este nevinovat şi că dânşii au calomniat numai pe Episcop», 6 sin. II ec.; 19 Cartag.
- Acuza ce se ridică împotriva cuiva trebuie cercetată în mod temeinic. 3, 6 Teofil
- Acuzatul sau acuzatorul pot cere, pentru motive binecuvântate, ca procesul lor să se judece în alt loc decât cel obişnuit. 30 Cartag."
6,A,ADMINISTRAREA AVERII BISERICEŞTI,"Administrarea averii bisericeşti o face Episcopul, ajutat de un econom cleric. 26 sin. IV ec.; 11 sin VII ec.
- Episcopul care nu administrează corect averea eparhiala să fie judecat de sinod, 25 Antioh. 
- Vezi şi: AVERE."
7,A,ADULTER,"Raportul intim al soţului cu o femeie străină sau al soţiei cu un bărbat străin este adulter. 21 Vasile cel Mare; 15 Ioan  Ajunatorul.
- Cel dovedit de adulter nu poate fi promovat în cler. 61 ap.
- Dacă soţia clericului e adulteră, acesta trebuie să o demită; dacă nu divorţează de ea, el încetează de a mai fi cleric. 8 Neocez.
- Adulterul este mai grav decât desfrânarea. 18 Vasile cel Mare; 4 Grigorie de Nyssa.
- Adulterul este motivul de divorţ. 9 Vasile cel Mare. 
- Vezi şi: DESFRÂNARE"
8,A,ADUNARE ILEGALĂ,"«Dacă vreun presbiter, dispreţuind pe Episcopul său, ţine deosebit adunare şi ridică alt altar, neştiind nici o vină asupra Episcopului său să se caterisească». 31 ap.; 31 Trul.; Vasile cel Mare; 5 Antioh; 35 Laod.; 10 Cartag. să fie anatema; 6 Gang.; 10, 11 Cartag. 
-Vezi şi SCHISMA."
9,A,AFURISIRE,"Se pedepseşte cu afurisire:
A. Episcopul care: primeşte în eparhia sa clerici sau mireni afurisiţi, veniţi din alte eparhii. 12 ap.
- Primeşte clerici care, împotriva voinţei Episcopului lor, şi-au părăsit eparhia. 16 ap.
- Nu poartă grijă să dea clericilor săraci cele de trebuinţă. 59 ap.
- Hirotoneşte, ca urmaş al său, pe o rudenie a sa. 76 ap.
- Se amestecă în treburile altei eparhii, fără învoirea Episcopului competent. 18 Ancira.
B. Clericul care: divorţează din motive de evlavie. 5 ap.
- Nu se împărtăşeşte la St. Liturghie, fără a spune motivul pentru care nu se împărtăşeşte. 8 ap.
- A ajuns la demnitatea de cleric prin bani. 29 ap.
- Refuza să păstorească pe credincioşii pentru care a fost hirotonit, sau care e vinovat din cauză că poporul nu vrea să primească pe Episcopul canonic. 36 ap.
- Joacă jocuri de noroc sau se dă beţiei. 43 ap.; 50 Trul.
- Se roagă împreună cu ereticii. 45 ap.
- Umblă la cârciumi. 54 ap.
- Defaimă pe un cleric superior. 56 ap.
- Batjocoreşte pe un infirm, şchiop, surd sau orb. 57, 58 ap.
- Clericul superior care nu poartă grijă de cler sau credincioşi. 58 ap.
- Duce din biserica vase sfinţite, spre a le folosi acasă. 73 ap.; 10 Const. I-II.
- Călugărul care fuge de la mănăstire şi persoana care primeşte pe fugar. 4 Const. I-II.
C. Mireanul care:
- Se roagă împreună cu cei excomunicaţi. 10 ap.; 2 Antioh.
- Dispreţuieşte pe episcop sau devine schismatic. 31 ap.; 5 Antioh; 13 Const. I-II.
- Ucide pe cineva. 65 ap.
- Posteşte (post negru) Duminica sau Sâmbăta (afară de Sâmbăta mare). 66 ap.; 55 Trul.
- Defaimă conducerea de stat sau pe dregători. 84 ap.
- Mireanul şi monahul care nu se supune Episcopului său. 8 sin. IV ec.
- Îşi ia singur Sf. Cuminecătură, de faţă fiind Episcopul, presbiterul sau diaconul. 58 Trul.
- Predică în public (în biserică) fără învoirea Episcopului. 64 Trul.
- Face cârciumă sau alt fel de comerţ în curtea bisericii. 76 Trul.
- Comunică cu clericul care liturghiseşte sau botează în paraclise particulare, fără învoirea Episcopului. 12 Const. I-II."
10,A,AFURISIT,"Clericul afurisit poate fi iertat numai de Episcopul care l-a pedepsit sau de urmaşul său legitim. 32 ap.; 6 Antioh.
- Să se prelungească afurisirea clericului care a fost afurisit de un Episcop, şi merge în altă eparhie, tăinuindu-şi pedeapsa. 13 ap.
- Clericul care se crede afurisit pe nedrept de Episcop poate face apel la Mitropolit. 14 Sard. 
Vezi şi: EXCOMUNICARE."
